Dataset size: 112120 images.
GAN training: time elapsed = 9665.83 [s] | epoch=3 | batch= [2801/3503]
GAN training: time elapsed = 9714.96 [s] | epoch=3 | batch= [2851/3503]
GAN training: time elapsed = 9764.28 [s] | epoch=3 | batch= [2901/3503]
GAN training: time elapsed = 9813.64 [s] | epoch=3 | batch= [2951/3503]
GAN training: time elapsed = 9862.79 [s] | epoch=3 | batch= [3001/3503]
GAN training: time elapsed = 9911.69 [s] | epoch=3 | batch= [3051/3503]
GAN training: time elapsed = 9960.79 [s] | epoch=3 | batch= [3101/3503]
GAN training: time elapsed = 10010.08 [s] | epoch=3 | batch= [3151/3503]
GAN training: time elapsed = 10059.90 [s] | epoch=3 | batch= [3201/3503]
GAN training: time elapsed = 10110.08 [s] | epoch=3 | batch= [3251/3503]
GAN training: time elapsed = 10160.33 [s] | epoch=3 | batch= [3301/3503]
GAN training: time elapsed = 10210.48 [s] | epoch=3 | batch= [3351/3503]
GAN training: time elapsed = 10260.61 [s] | epoch=3 | batch= [3401/3503]
GAN training: time elapsed = 10310.57 [s] | epoch=3 | batch= [3451/3503]
GAN training: time elapsed = 10359.68 [s] | epoch=3 | batch= [3501/3503]
GAN training: time elapsed = 10363.11 [s] | epoch=4 | batch= [1/3503]
GAN training: time elapsed = 10413.72 [s] | epoch=4 | batch= [51/3503]
GAN training: time elapsed = 10466.25 [s] | epoch=4 | batch= [101/3503]
GAN training: time elapsed = 10515.47 [s] | epoch=4 | batch= [151/3503]
GAN training: time elapsed = 10564.64 [s] | epoch=4 | batch= [201/3503]
GAN training: time elapsed = 10614.13 [s] | epoch=4 | batch= [251/3503]
GAN training: time elapsed = 10663.20 [s] | epoch=4 | batch= [301/3503]
GAN training: time elapsed = 10712.28 [s] | epoch=4 | batch= [351/3503]
GAN training: time elapsed = 10761.43 [s] | epoch=4 | batch= [401/3503]
GAN training: time elapsed = 10810.79 [s] | epoch=4 | batch= [451/3503]
GAN training: time elapsed = 10860.05 [s] | epoch=4 | batch= [501/3503]
GAN training: time elapsed = 10910.81 [s] | epoch=4 | batch= [551/3503]
GAN training: time elapsed = 10959.88 [s] | epoch=4 | batch= [601/3503]
GAN training: time elapsed = 11009.13 [s] | epoch=4 | batch= [651/3503]
